"CP General","General"
"CP General Settings","Configuración general"
"CP Activate backendnews?","¿Activar sistema de notificaciones?"
"CP Should the IP for API access be checked?","¿Quiere que se compruebe el IP en el acceso IPA?"
"CP Articlenumber","Número de artículo"
"CP This applies to the tracking as well as the marketplace integration or the repricing.","Esto es válido para el seguimiento, para la integración del marketplace y para el control de precios."

"CP Tracking","Seguimiento"
"CP Tracking Settings","Opciones de seguimiento"
"CP Cookiemode","Modo cookie"
"CP Trackingkeys","Seguimiento"
"CP Shop","Tienda"
"CP TrackingKey","Tracking key"

"CP Data Feed Export","Exportación"
"CP Export Settings","Configuración de la exportación"
"CP Password","Contraseña"
"CP Protect your data feed with a password. For example: 'www.testshop.com/channelpilot?password=12345'","Proteja su fuente de datos estableciendo una contraseña, como en el siguiente ejemplo:  'www.testshop.com/channelpilot?password=12345'"
"CP Select data fields","Seleccione el campo de datos"
"CP Data field","Campo de datos"
"CP Select the data fields you want to provide on ChannelPilot. Some product attributes are always included. (Entity_Id, Sku, name, description, price, manufacturer, color, categories, product_url, image_url, additional_image_1, additional_image_2, additional_image_3, weight)","Seleccione el campo de datos que le gustaría proporcionar a ChannelPilot. Algunos campos de datos se encuentran en el catálogo de productos de forma permanente. (Entity_Id, Sku, name, description, price, manufacturer, color, categories, product_url, image_url, etc.)"
"CP Create static data fields","Cree campos de datos estáticos"
"CP Data field name","Nombre del campo de datos"
"CP Data field value","Valor del campo de datos"
"CP Set up additional data fields. These fields have for every product the same value. E.g. for additional delivery costs.","Cree más campos de datos con valores de producto estáticos, por ejemplo, para costes de envío adicionales."
"CP Product variant data fields","Personalice campos de datos variantes"
"CP Select the data fields you want to be overwritten by the respective value of the parent article.","Seleccione el campo de datos que desee que sea sustituido por el artículo superior."
"CP Number additional productimages","Clasificar pedido"
"CP How many additional productimages should be exported?","¿Cuántas imágenes adicionales quiere exportar?"

"CP Marketplace Integration","Integración del mercado"
"CP Marketplace Integration Settings","Configuración de la integración del mercado"

"CP Repricing","Control de precios "
"CP Repricing Settings","Configuración del control de precios"
"CP General Repricing","Control de precios general"
"CP Field for price","Campo de precio"
"CP This field would be overwritten by the new product price.","Este campo de precio será sustituido por el precio nuevo"
"CP Save prices net or gross?","¿Guardar precios en neto o en bruto?"

"CP ChannelPilot-Payment","Pago ChannelPilot"
"CP !!!This is no real payment method!!!","¡¡¡La forma de pago escogida no es válida!!!"
"CP Title","Término"
"CP Order Status","Estado del pedido"
"CP Payment Types","Formas de pago"

"CP Activate?","Activar?"
"CP Add","Añadir"
"CP Delete","Borrar"
"CP OrderStatus Imported (payed)?","¿OrderStatus Importado (pagado)?"
"CP OrderStatus Imported (unpayed)?","¿OrderStatus importado (no pagado)?"

"This shipping method is currently unavailable.","El modo de envío no está disponible."
"CP ChannelPilot - Shipping Method", "ChannelPilot - Modo de envío"
"CP Enabled","Activad"
"CP Use for backend only","Sólo para uso en el backend"
"CP Title","Título"
"CP Method Name","Nombre del modo"
"CP Price","Precio"
"CP Ship to Applicable Countries","Enviar a países aplicables."
"CP Show Method if Not Applicable","Mostrar modo si no es aplicable."
"CP Ship to Specific Countries","Enviar a países específicos."
"CP Displayed Error Message","Mensaje de error mostrado"
"CP Sort Order","Clasificar pedido"

"CP In which field you want to save the externalTransactionId?","¿En cuál campo desea guardar el externalTransactionId?"
